Date,Close,Adj Close,Dividends,,divMult,revCumProdDivMult,Adj Close w/o divs,,Split Multiple,Split Multiple rounded 2d.p,Quantity Multiplyer Raw,Quantity Multiplyer
8/15/06,98.2,28.94,0,,1,0.900,32.147,,0.327359399,0.3,1,
8/16/06,99.16,29.23,0,,1,0.900,32.469,,0.327438749,0.3,1,
8/17/06,99.3,29.27,0,,1,0.900,32.513,,0.327424558,0.3,1,
8/18/06,98.36,28.99,0,,1,0.900,32.202,,0.327391554,0.3,1,
8/21/06,97.85,28.84,0,,1,0.900,32.036,,0.32739512,0.3,1,
8/22/06,97.82,28.83,0,,1,0.900,32.025,,0.327381971,0.3,1,
8/23/06,96.05,28.31,0,,1,0.900,31.447,,0.327401207,0.3,1,
8/24/06,95.79,28.23,0,,1,0.900,31.358,,0.327362162,0.3,1,
8/25/06,96.06,28.31,0,,1,0.900,31.447,,0.327367124,0.3,1,
8/28/06,97.15,28.63,0,,1,0.900,31.802,,0.327352995,0.3,1,
8/29/06,97.48,28.73,0,,1,0.900,31.913,,0.327384325,0.3,1,
8/30/06,97.9,28.86,0,,1,0.900,32.058,,0.327454838,0.3,1,
8/31/06,97.62,28.77,0,,1,0.900,31.958,,0.327369967,0.3,1,
9/1/06,98.71,29.09,0,,1,0.900,32.313,,0.32735603,0.3,1,
9/5/06,99.25,29.25,0,,1,0.900,32.491,,0.327365667,0.3,1,
9/6/06,96.4,28.41,0,,1,0.900,31.558,,0.327364797,0.3,1,
9/7/06,95.3,28.09,0,,1,0.900,31.203,,0.327413524,0.3,1,
9/8/06,96.08,28.32,0,,1,0.900,31.458,,0.327414592,0.3,1,
9/11/06,94.01,27.71,0,,1,0.900,30.780,,0.327416264,0.3,1,
9/12/06,95.62,28.18,0,,1,0.900,31.302,,0.327363327,0.3,1,
9/13/06,97.05,28.6,0,,1,0.900,31.769,,0.327346928,0.3,1,
9/14/06,96.25,28.37,0,,1,0.900,31.514,,0.327413342,0.3,1,
9/15/06,96.82,28.54,0,,1,0.900,31.702,,0.327436181,0.3,1,
9/18/06,97.91,28.86,0,,1,0.900,32.058,,0.327421393,0.3,1,
9/19/06,96.4,28.41,0,,1,0.900,31.558,,0.327364797,0.3,1,
9/20/06,98.38,29,0,,1,0.900,32.213,,0.327437907,0.3,1,
9/21/06,95.98,28.29,0,,1,0.900,31.425,,0.327408521,0.3,1,
9/22/06,94.76,27.93,0,,1,0.900,31.025,,0.327403758,0.3,1,
9/25/06,95.86,28.25,0,,1,0.900,31.380,,0.327354868,0.3,1,
