Date,Open,High,Low,Close,Volume,Adj Close,Dividends
2009-10-26,86.66,87.04,86.62,86.9,779800,65.0,0.0
2009-10-27,86.9,86.9,86.05,86.22,1527900,64.49,0.0
2009-10-28,86.38,86.48,84.79,84.8,1266000,63.43,0.0
2009-10-29,85.18,86.45,85.05,85.99,1350500,64.32,0.0
2009-10-30,86.0,86.21,84.87,85.18,1466000,63.71,0.0
2009-11-02,84.93,85.57,84.65,85.14,70300,64.21,0.703
2009-11-03,84.59,85.58,84.59,85.33,1135400,64.36,0.0
2009-11-04,85.9,86.0,85.3,85.46,687800,64.45,0.0
2009-11-05,85.63,85.66,85.24,85.53,506800,64.51,0.0
2009-11-06,85.47,85.65,85.37,85.61,547700,64.57,0.0
2009-11-09,85.79,85.98,85.7,85.95,571400,64.82,0.0
2009-11-10,85.87,85.98,85.66,85.92,667800,64.8,0.0
2009-11-11,85.96,86.2,85.88,85.97,509500,64.84,0.0
2009-11-12,86.09,86.11,85.75,86.07,619900,64.91,0.0
2009-11-13,85.89,86.25,85.75,85.9,491100,64.79,0.0
2009-11-16,86.33,86.65,86.05,86.3,714900,65.09,0.0
2009-11-17,86.48,86.48,86.15,86.28,438400,65.07,0.0
2009-11-18,86.36,86.44,86.06,86.06,630200,64.91,0.0
2009-11-19,86.2,86.3,85.87,86.24,679700,65.04,0.0
2009-11-20,86.14,86.34,86.0,86.22,544200,65.03,0.0
2009-11-23,86.28,86.37,86.1,86.13,428600,64.96,0.0
2009-11-24,86.26,86.3,86.05,86.18,526800,65.0,0.0
2009-11-25,86.25,86.65,86.21,86.22,548900,65.03,0.0
2009-11-27,85.36,85.85,85.05,85.62,570000,64.57,0.0
2009-11-30,85.6,86.1,85.6,85.9,674100,64.79,0.0
2009-12-01,85.59,85.83,85.35,85.7,749100,65.11,0.622
2009-12-02,85.7,85.96,85.6,85.79,537400,65.17,0.0
2009-12-03,85.93,86.26,85.86,85.9,489600,65.26,0.0
2009-12-04,86.21,86.56,86.21,86.25,532000,65.52,0.0
2009-12-07,86.34,86.44,86.16,86.36,397200,65.61,0.0
2009-12-08,86.35,86.5,86.19,86.46,359000,65.68,0.0
2009-12-09,86.52,86.63,86.43,86.46,357000,65.68,0.0
